team,pts_1q,pts_2q,pts_3q,pts_4q,pts_ot1,pts_ot2,pts_total,adversary,pts_adv_1q,pts_adv_2q,pts_adv_3q,pts_adv_4q,pts_ot1.1,pts_ot2.1,pts_adv_total,1q_winner,2q_winner,3q_winner,4q_winner,match_winner,home_away,month_day,year
IND,31,38,26,26,0,0,121, WAS,33,32,24,22,0,0,111, WAS, IND, IND, IND, IND, home,  December 9,2022
TOR,25,38,24,22,0,0,109, ORL,37,30,27,19,0,0,113, ORL, TOR, ORL, TOR, ORL, away,  December 9,2022
ORL,37,30,27,19,0,0,113, TOR,25,38,24,22,0,0,109, ORL, TOR, ORL, TOR, ORL, home,  December 9,2022
ATL,30,34,26,26,0,0,116, BRK,36,32,28,24,0,0,120, BRK, ATL, BRK, ATL, BRK, away,  December 9,2022
BRK,36,32,28,24,0,0,120, ATL,30,34,26,26,0,0,116, BRK, ATL, BRK, ATL, BRK, home,  December 9,2022
SAC,31,18,30,27,0,0,106, CLE,20,29,31,15,0,0,95, SAC, CLE, CLE, SAC, SAC, away,  December 9,2022
CLE,20,29,31,15,0,0,95, SAC,31,18,30,27,0,0,106, SAC, CLE, CLE, SAC, SAC, home,  December 9,2022
LAL,20,39,24,37,2,0,122, PHI,31,30,32,27,13,0,133, PHI, LAL, PHI, LAL, PHI, away,  December 9,2022
PHI,31,30,32,27,13,0,133, LAL,20,39,24,37,2,0,122, PHI, LAL, PHI, LAL, PHI, home,  December 9,2022
DET,27,26,25,25,0,0,103, MEM,34,27,37,16,0,0,114, MEM, MEM, MEM, DET, MEM, away,  December 9,2022
MEM,34,27,37,16,0,0,114, DET,27,26,25,25,0,0,103, MEM, MEM, MEM, DET, MEM, home,  December 9,2022
PHO,27,25,30,35,0,0,117, NOP,26,29,40,33,0,0,128, PHO, NOP, NOP, PHO, NOP, away,  December 9,2022
NOP,26,29,40,33,0,0,128, PHO,27,25,30,35,0,0,117, PHO, NOP, NOP, PHO, NOP, home,  December 9,2022
MIN,28,33,21,36,0,0,118, UTA,24,22,33,29,0,0,108, MIN, MIN, UTA, MIN, MIN, away,  December 9,2022
UTA,24,22,33,29,0,0,108, MIN,28,33,21,36,0,0,118, MIN, MIN, UTA, MIN, MIN, home,  December 9,2022
MIL,32,20,21,33,0,0,106, DAL,33,15,36,21,0,0,105, DAL, MIL, DAL, MIL, MIL, away,  December 9,2022
DAL,33,15,36,21,0,0,105, MIL,32,20,21,33,0,0,106, DAL, MIL, DAL, MIL, MIL, home,  December 9,2022
